City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Pikeville KY USA,7,21,14.5,31.7,-2.3,111.5,37.6,70,9.6,North America,37.48,-82.52
Drummondville QC Canada,72,82,6.4,25.8,-14.9,111.4,241.7,77,6.5,North America,45.88,-72.48
Bohicon Benin,149,167,27,35,22,111.2,0,75.5,8,Africa,7.18,2.07
Effingham IL USA,13,191,11.9,30.6,-6.8,111,38.6,68,10.9,North America,39.12,-88.54
Pinar_del_Rio Cuba,140,40,25,30,18,111,0,80,9,Latin America,22.41,-83.85
Makaha HI USA,8,256,22,28,16,111,0,77,11.3,North America,21.46,-158.22
Suzhou JS China,10651,11,15.9,33,0,110.9,1,77.6,10.1,Asia,31.33,120.73
Augusta GA USA,198,45,17.7,34.1,0.4,110.7,2.3,72.1,9.2,North America,33.47,-82.01
Richmond VA USA,214,49,14.9,32.1,-2.1,110.7,26.2,68.1,12.6,North America,37.54,-77.44
Kingsport TN USA,53,386,14.2,30.9,-2.2,110.7,30.5,71,7.5,North America,36.55,-82.56
Keene NH USA,23,146,7.8,28.1,-12.6,110.7,138.7,67.9,7.1,North America,42.93,-72.28
Cascavel PR Brazil,267,350,25.6,35,17.1,110.4,0,74,3.2,South America,-24.96,-53.46
Florence SC USA,38,35,17.6,32.7,1.7,110.1,4.8,71,11.7,North America,34.20,-79.76
Wau South_Sudan,128,437,28,37,20,110,0,53,6,Africa,7.71,27.98
Korhogo Ivory_Coast,286,381,27,34,20,110,0,65.4,9,Africa,9.47,-5.61
Raleigh NC USA,432,114,16,32.3,-0.6,110,15.5,69,10.9,North America,35.78,-78.64
Bouake Ivory_Coast,536,375,26,32,21,110,0,73.5,9,Africa,7.69,-5.04
Charleston WV USA,51,228,12.9,29.7,-3.8,110,86.4,71.8,7.6,North America,38.35,-81.63
Longview WA USA,37,7,10,25,1,110,47,75.3,8.4,North America,46.14,-122.94
Amherst MA USA,38,51,8.8,28.3,-9.9,109.8,112.8,68,10.4,North America,42.37,-72.52
Yacuiba Bolivia,97,597,21.9,30,10,109.7,0,68.2,7,South America,-22.02,-63.68
Millville NJ USA,28,18,12.4,29.9,-4.4,109.7,34.8,71,13.9,North America,39.40,-75.04
Visakhapatnam AP India,2036,31,26.7,36.7,17,109.4,0,75,8.2,Asia,17.69,83.22
New_Brunswick NJ USA,56,27,11.6,29.5,-4.9,109.4,62,68,6.5,North America,40.49,-74.45
Islamabad Pakistan,1900,507,21,36,5,109,0,62.1,9,Asia,33.66,73.23
Tamale Ghana,361,172,28,34,25,109,0,63.5,6,Africa,9.40,-0.84
Rio_de_Janeiro RJ Brazil,6430,6,24.2,32.9,16.9,109,0,75.6,12,South America,-22.91,-43.17
Jamestown NY USA,31,525,9,27,-7,109,221,74.5,13.1,North America,42.10,-79.24
Santander Spain,176,64,14.1,23.7,5.6,109,0,75,14,Europe,43.46,-3.81
Bobo_Dioulasso Burkina_Faso,538,459,27,35,20,108.8,0,54,9,Africa,11.16,-4.31
Charlottesville VA USA,44,193,13.1,30.1,-3.3,108.5,37,66,8.2,North America,38.03,-78.48
Millinocket ME USA,5,124,5.9,25.7,-15.4,108.5,244.6,73,8.8,North America,45.66,-68.71
Angra_Heroismo Azores,35,1,17,24.8,11.1,108.5,0,82,18,Europe,38.66,-27.23
San_Cristobal CP Mexico,186,2200,15.1,24.1,3.8,108.5,0,78,4.1,Latin America,16.75,-92.65
Guyana Venezuela,850,104,27.1,34,22,108.4,0,76.2,7.7,South America,8.37,-62.65
Lugo Spain,99,445,11.5,24.1,1.5,108.4,2,78,4,Europe,43.01,-7.56
Wuxi JS China,3542,8,15.6,31.8,0.2,108.3,4,77.4,10.1,Asia,31.91,120.27
Columbia MO USA,115,270,12.6,30.9,-6.2,108.2,45.7,71.2,15.4,North America,38.95,-92.33
Milan Italy,1360,210,11.4,28.6,-4.4,108.2,2,75.2,9,Europe,45.46,9.19
McAlester OK USA,19,234,16,35,-1,108,15,63,12.9,North America,34.93,-95.77
Chongqing CQ China,8190,350,18,32,7,108,0,78,6,Asia,29.56,106.59
Palu Sulawesi Indonesia,335,6,27,31,24,108,0,75,16,Oceania,-0.90,119.88
Guayaquil Ecuador,2291,9,26,31,20,108,0,75,12,South America,-2.17,-79.92
Asahikawa Japan,347,114,6,26,-13,108,743,77,6.6,Asia,43.77,142.36
Fredericton NB Canada,58,20,5,25,-16,108,242,80,11.8,North America,45.96,-66.64
Cork Ireland,119,161,9.9,18.7,3,108,8,87.9,10.5,Europe,51.90,-8.49
Indianapolis IN USA,853,241,11.8,29.4,-6.4,107.7,65.8,70.9,15.3,North America,39.77,-86.16
Portsmouth NH USA,22,39,8,26,-9,107.5,139.7,67,12.2,North America,43.07,-70.76
Genoa Italy,583,3,15.6,27.2,5,107.2,0,65.8,17,Europe,44.41,8.95
Campana Argentina,94,16,17.1,27,6,107.2,0,72.8,10.5,South America,-34.16,-58.96
Erie PA USA,101,223,9.9,26.6,-6.2,107.2,256.3,70.9,16.4,North America,42.13,-80.09
Miramichi NB Canada,18,33,4.9,25.2,-16.6,107.2,291.4,72.6,13.5,North America,47.03,-65.51
Boston MA USA,646,1,10.7,27.6,-5.4,107.1,106.2,66.1,19,North America,42.36,-71.06
General_Santos Philippines,538,14,28,32,23,107,0,84,8,Asia,6.12,125.17
Cienfuegos Cuba,147,29,25,32,16,107,0,75,8.7,Latin America,22.16,-80.44
Santa_Clara Cuba,212,100,25,32,16,107,0,75,8.1,Latin America,22.42,-79.94
Parkersburg WV USA,31,200,12.7,30.5,-4.6,106.9,28.7,70.2,9.4,North America,39.27,-81.56
Wilmington DE USA,72,15,12.4,29.9,-4.4,106.9,53.3,68.1,14,North America,39.74,-75.54
Huntington WV USA,49,221,12.9,29.7,-4.2,106.7,63,69.9,9.8,North America,38.42,-82.45
Baltimore MD USA,622,59,12.8,30.7,-4.2,106.4,51.1,67.4,12.2,North America,39.29,-76.61
Bangor ME USA,33,58,6.8,26.3,-14.1,106.4,167.9,71,12.6,North America,44.80,-68.78
Zunyi GZ China,6127,845,15,30,2,106.3,0,58,6.2,Asia,27.72,106.93
Atlantic City NJ USA,40,42,12.4,29.7,-4.2,106.2,41.9,71,14.2,North America,39.36,-74.42
Worcester MA USA,183,299,8.9,27.2,-8.1,106.1,146.8,67.7,15.9,North America,42.26,-71.80
Antalya Turkey,2288,56,18,33,5,106,0,63.8,12,Middle East,36.90,30.71
Wheeling WV USA,28,322,11.6,29.8,-6.4,106,46.7,70,11.1,North America,40.06,-80.72
Los_Angeles Chile,146,130,13,28,3,106,0,73,4,South America,-37.46,-72.36
Invercargill NZ,50,1,10,18.7,1,106,3,77,17.6,Oceania,-46.41,168.35
Derry Northern_Ireland UK,247,3,9,18,0,105.9,8,81.5,12.4,Europe,55.00,-7.31
Huaraz Peru,101,3059,5.1,13.9,-3.3,105.9,3,56.1,4.4,South America,-9.53,-77.53
Cincinnati OH USA,298,171,12.6,30.4,-5.2,105.8,37.6,74,13.7,North America,39.10,-84.51
Noumea New_Caledonia,98,71,23.4,29.3,17.2,105.8,0,77.9,19,Oceania,-22.26,166.45
Charlotte NC USA,793,213,15.5,31.7,-1.3,105.7,10.9,66.1,10.6,North America,35.23,-80.84
Evansville IN USA,120,115,13.6,31.4,-4.4,105.7,30,70.9,11.4,North America,37.97,-87.57
Lynchburg VA USA,78,295,13.1,30.3,-4,105.7,32.8,67.8,10.3,North America,37.41,-79.14
Laconia NH USA,16,168,8.2,27.4,-11.3,105.6,171.4,75,10.2,North America,43.53,-71.47
Philadelphia PA USA,1553,3,13.3,30.6,-3.6,105.4,56.9,64.8,15,North America,39.95,-75.17
Utica NY USA,62,176,7,28,-11,105.3,228.6,76,11.2,North America,43.10,-75.23
Terre_Haute IN USA,61,178,11.7,30.7,-7.9,105.1,34.5,76,12.2,North America,39.47,-87.41
Vijayawada AP India,1491,21,27,37,18,105,0,77,7,Asia,16.51,80.65
Ziguinchor Senegal,337,22,27,35,17,105,0,67.5,8,Africa,12.56,-16.26
Sebring FL USA,10,19,23,33,10,105,0,75,8.7,North America,27.50,-81.44
Dar_es_Salaam Tanzania,4365,54,26,31,19,105,0,81.7,14,Africa,-6.79,39.21
Kaunakakai HI USA,3,256,23.5,29.1,17.9,105,0,74,18.5,North America,21.09,-157.02
Durban South_Africa,3442,7,21,27,12,105,0,76.7,19,Africa,-29.86,31.02
Beckley WV USA,18,736,10.8,26.4,-5.6,105,156.7,68,11.7,North America,37.78,-81.19
Banja_Luka Bosnia_Herzegovina,196,156,11,26,-3,105,9,73,4,Europe,44.77,17.19
Roanoke VA USA,98,350,13.9,30.6,-2.5,104.9,42.2,63.6,11.1,North America,37.27,-79.94
Fredericksburg VA USA,28,35,13.5,31.3,-3.9,104.8,39.4,69,8,North America,38.30,-77.46
Portsmouth OH USA,20,197,13,31,-4.2,104.8,34.5,69,9.1,North America,38.73,-83.00
Trieste Italy,201,20,14.4,28.1,3.1,104.5,0,65,16,Europe,45.65,13.78
North_Bay ON Canada,53,370,4.2,24,-17.4,104.5,299.6,72.7,13.2,North America,46.31,-79.46
Banjul The_Gambia,35,15,25.9,35,18,104.4,0,63,8.6,Africa,13.45,-16.58
Dayton OH USA,144,303,11.1,28.8,-6.5,104.4,59.2,70.3,15.1,North America,39.76,-84.19
Saint_Louis MO USA,318,163,13.9,31.7,-4.6,104.1,45,66.5,15,North America,38.63,-90.20
Augusta ME USA,19,108,6,27,-11,104,197,71,13.7,North America,44.31,-69.78
Harrisburg PA USA,49,103,11.8,29.6,-5,103.9,71.6,66.3,12,North America,40.27,-76.89
Pittsfield MA USA,45,356,7.4,26.9,-10.7,103.5,186.7,66.5,9.8,North America,42.45,-73.25
Watertown NY USA,28,99,7,26,-10,103.5,204.2,74,13.6,North America,43.97,-75.91
Arendal Norway,42,7,7.1,17,-1,103.5,10,82.5,25,Europe,58.46,8.77
Montreal QC Canada,1958,35,7.5,26.8,-12.4,103.4,189.9,69.5,16,North America,45.50,-73.57
Bennington VT USA,16,252,7.8,26.3,-11.3,103.4,190.8,70,9.6,North America,42.88,-73.20
Tromso Norway,72,10,2.5,15.3,-6.5,103.1,6,82.9,17,Europe,69.65,18.96
Placerville CA USA,10,789,12,33,0,103,15,58,10.6,North America,38.73,-120.80
Zihuatanejo GR Mexico,120,20,26.8,32.7,20,103,0,79.5,5.2,Latin America,17.64,-101.55
Salisbury MD USA,32,15,12,30,-2,103,15,76,12.1,North America,38.36,-75.60
Blacksburg VA USA,44,631,10.9,28.1,-6.3,103,58.9,68,8,North America,37.23,-80.41
Saint_Georges QC Canada,31,168,4.5,25.1,-18,103,201,78,5,North America,46.12,-70.67
Trois_Rivieres QC Canada,131,57,5,25,-17,103,207,74,5.3,North America,46.35,-72.58
Fort_Bragg CA USA,8,2,11,18,4,103,0,49,6.4,North America,39.45,-123.81
Buffalo NY USA,259,214,9.1,26.6,-7.5,102.9,240.5,71.3,16.7,North America,42.89,-78.88
Bern Switzerland,127,509,7.9,23.3,-3.7,102.8,52.6,78.2,5.8,Europe,46.95,7.45
Tripoli Lebanon,500,10,18,30,9,102,0,69,12,Asia,34.43,35.84
Cali Colombia,2401,968,23,29,18,102,0,74.5,16,South America,3.45,-76.53
Manchester NH USA,110,93,7.9,27.7,-12.4,102,125.2,65,10.3,North America,43.00,-71.45
Horta Azores,14,40,17,24,12,102,0,83,19,Europe,38.53,-28.63
College_Station TX USA,100,97,20.6,35.7,5.1,101.9,1.5,71,12.3,North America,30.63,-96.33
Victoria TX USA,65,3,21.3,34.6,6.2,101.8,0.2,77,15.1,North America,28.81,-97.00
Aberystwyth Wales UK,13,99,8.9,19.4,2.1,101.8,3,82,11,Europe,52.42,-4.08
Lawrence KS USA,91,26,13.2,31.4,-7.6,101.4,46,70.5,14.3,North America,38.97,-95.24
Cornwall ON Canada,46,64,7.6,27,-12.6,101.2,180,77,5.4,North America,45.02,-74.73
Key_West FL USA,26,1,25.4,31.9,17.9,101.1,0,74.8,16.6,North America,24.56,-81.78
Lucknow UP India,2816,121,25,40,8,101,0,66,5.4,Asia,26.85,80.95
Matadi DRC,306,355,27,34,20,101,0,74,3.2,Africa,-5.85,13.46
San_Miguel_Tucuman Argentina,781,449,19.3,31.3,6.8,101,0,74,7.9,South America,-26.81,-65.22
Chincoteague VA USA,3,12,13,28,-2,101,22,72.5,14.3,North America,37.93,-75.38
Morgantown WV USA,31,382,11,28,-3,101,71,72,8.7,North America,39.63,-79.96
Gisborne NZ,32,5,14.5,24.7,5.2,101,0,78,11.4,Oceania,-38.66,178.02
Cambridge OH USA,11,268,11.4,29.4,-6.5,100.9,52.3,74,10.8,North America,40.03,-81.59
Washington DC USA,659,3,14.6,31.3,-1.9,100.8,39.1,65,14.6,North America,38.91,-77.04
Salem OR USA,161,59,11.7,28,1.1,100.8,15.7,74.6,10.8,North America,42.52,-70.90
Kandi Benin,178,291,27,37,17,100.7,0,54,8,Africa,11.13,2.93
Naples Italy,960,88,15.5,29.5,3.8,100.7,0,72.3,12,Europe,40.85,14.27
Akron OH USA,198,368,9.9,27.8,-7.2,100.6,120.7,72.8,14.8,North America,41.08,-81.52
Rolla MO USA,20,334,13,31,-5.9,100.5,39.4,75,15.3,North America,37.95,-91.77
Geneva Switzerland,189,415,10.5,26.5,-1.3,100.5,32.1,73.3,8.6,Europe,46.20,6.14
A_Coruna Spain,245,67,13,22.5,7.6,100.5,0,77,7.8,Europe,43.36,-8.41
Jefferson_City MO USA,43,190,12.8,32.2,-5.7,100.2,41.4,70.7,11.9,North America,38.58,-92.17
Rio_Branco AC Brazil,308,142,24.8,32.8,16.5,100,0,83.8,1.5,South America,-9.98,-67.82
Xai_Xai Mozambique,116,5,23,31.2,12.1,100,0,77,8.6,Africa,-25.06,33.70
Cumana Venezuela,341,3,27,31,23,100,0,83,19,South America,10.43,-64.18
Nanjing JS China,8230,11,15,31,-1,100,3,76,12,Asia,32.05,118.78
Mwanza Tanzania,700,1139,22,29,16,100,0,64,7.5,Africa,-2.52,32.92
Sorel QC Canada,35,15,6.3,26.4,-15.5,100,198.7,79,7.1,North America,46.04,-73.11
Klagenfurt Austria,95,440,7,25,-8,100,84.1,81,5,Europe,46.64,14.31
Hagerstown MD USA,41,214,11.9,29.6,-4.8,99.8,53,65,11.5,North America,39.64,-77.72
Columbus OH USA,823,247,11.9,29.4,-5.2,99.8,67.8,68.5,12.4,North America,39.96,-83.00
Mont_Laurier QC Canada,14,244,4.1,24.8,-19,99.7,215.8,76.5,4.8,North America,46.55,-75.50
Lake_Placid NY USA,3,605,4.7,24.7,-15.4,99.7,303,68.5,8.8,North America,44.28,-73.98
Tacoma WA USA,203,1,11.9,25,2.1,99.6,1.3,71,10.8,North America,47.25,-122.44
Cleveland OH USA,390,234,10.8,28.1,-5.7,99.3,173,70.8,15.6,North America,41.50,-81.69
Bamako Mali,1809,381,28,38,18,99.1,0,48.5,12,Africa,12.64,-8.00
Garoua Cameroon,236,241,28,40,19,99,0,56,5.1,Africa,9.32,13.39
Muncie IN USA,70,285,11,29.2,-7.3,99,47.2,69.5,14.9,North America,40.19,-85.39
Bundaberg QLD Australia,71,31,21,29,9,99,0,71,14,Oceania,-24.87,152.35
Waterford Ireland,54,41,9,19,2,99,5,88,11.7,Europe,52.26,-7.11
Kansas_City MO USA,467,296,12.6,31.3,-6.9,98.8,43.2,69.6,16.9,North America,39.10,-94.58
Youngstown OH USA,65,359,9.5,27.4,-7.2,98.8,159.3,72.1,14.2,North America,41.10,-80.65
Vlore Albania,105,5,16,31.1,5,98.7,0,73,6.8,Europe,40.47,19.49
Gonaives Haiti,300,8,26.1,34,22,98.5,0,73.7,9.8,Latin America,19.45,-72.68
Ayr Scotland UK,46,20,9.4,18.5,1.8,98.4,1,80,18,Europe,55.46,-4.63
Williamsport PA USA,29,159,10.4,29.4,-6.3,98.3,91.7,69,11.1,North America,41.24,-77.00
Daegu South_Korea,2493,61,12,31,-5,98.2,6,68,6.8,Asia,35.87,128.60
Ada OK USA,17,307,16,34,-1,98,13,62,14.6,North America,34.77,-96.68
Chengdu SC China,4742,507,16,28,2,98,0,81.3,8,Asia,30.57,104.07
Bodo Norway,50,42,4.5,15.5,-4.6,98,4,75,22,Europe,67.28,14.40
Syracuse NY USA,145,128,9.1,27.6,-9.1,97.8,314.5,70.6,13.5,North America,43.05,-76.15
Fort_Wayne IN USA,256,242,10.3,29.1,-8.1,97.3,85.1,73.3,14.8,North America,41.08,-85.14
Grand_Rapids MI USA,192,215,9.5,28.2,-7.7,97.3,190.2,72.1,15.4,North America,42.96,-85.67
Ponta_Delgada Azores,69,71,17.1,25,11.1,97.2,0,82.5,16,Europe,37.74,-25.68
Gijon Spain,276,10,13.8,23.2,4.7,97.1,0,79,12,Europe,43.53,-5.66
Salina_Cruz OA Mexico,74,56,26,32,22,97,0,67,11.8,Latin America,16.18,-95.21
Rosario Argentina,1194,24,17.3,31.2,4.9,97,0,76,16.1,South America,-32.94,-60.65
Buenos_Aires Argentina,3054,20,17.7,30.4,7.4,97,0,72,10.4,South America,-34.60,-58.38
Pittsburgh PA USA,306,350,10.8,28.1,-4.6,97,74.4,68.9,13,North America,40.44,-80.00
London ON Canada,366,277,7,27,-9,97,232,79,10,North America,42.98,-81.25
Berlin NH USA,10,352,4.7,25.9,-17.7,97,258,67.5,6.4,North America,44.47,-71.19
King Cove AK USA,1,3,3.5,13.3,-4.7,96.9,156.7,79,27.4,North America,55.06,-162.31
Manzanillo CL Mexico,111,7,26,31,19,96.8,0,79.5,17,Latin America,19.11,-104.34
Tulsa OK USA,398,203,16,33.9,-2.5,96.7,21.8,66.1,15.1,North America,36.15,-95.99
Champaign IL USA,84,224,11.1,29.9,-7.7,96.7,57.9,70,16,North America,40.12,-88.24
Andorra_la_Vella Andorra,23,1001,8,22,-4,96.7,16,50,5.8,Europe,42.51,1.52
South_Bend IN USA,101,235,9.9,28.3,-8,96.5,169.2,71.5,15,North America,41.68,-86.25
San_Luis_Obispo CA USA,46,15,27.5,37.1,16.6,96.2,0,60,12.7,North America,35.28,-120.66
Sherman TX USA,39,227,17,35,2,96,11,64,16.8,North America,33.64,-96.61
Joplin MO USA,51,298,14,32,-3,96,32,66,14.2,North America,37.08,-94.51
Kirksville MO USA,18,294,10.6,30.1,-10.2,96,67.8,71,15.1,North America,40.19,-92.58
Nelson NZ,50,5,12,23,2,96,0,71,11.7,Oceania,-41.27,173.28
Plymouth England UK,256,27,11.1,20,3.6,96,1,83,19.1,Europe,50.38,-4.14
Bogota Colombia,7777,2547,13,19,6,96,0,82.5,12,South America,4.71,-74.07
Eureka CA USA,27,17,11,17,5,96,0,46,10,North America,40.80,-124.16
Rimouski QC Canada,49,24,4.4,23.3,-15.4,95.9,273.5,78,7.6,North America,48.44,-68.53
Colima CL Mexico,137,500,24,34.4,15.4,95.7,0,58,4.8,Latin America,19.25,-103.72
Winchester VA USA,27,194,12.3,30.6,-4.8,95.7,57.1,68,9.7,North America,39.19,-78.16
Tuxtla CP Mexico,537,570,25.8,35.6,16.2,95.5,0,80,5.2,Latin America,19.54,-99.18
Juba South_Sudan,300,456,27,31,23,95.4,0,54.5,7,Africa,4.86,31.57
Seattle WA USA,652,37,11.4,24.6,2,95.3,17.3,77,12.9,North America,47.61,-122.33
Vaduz Leichtenstein,37,674,9.9,23.9,-2.8,95.3,7,74.2,3.6,Europe,47.14,9.52
Kigali Rwanda,1257,1496,21,25,18,95.1,0,73.5,9,Africa,-1.97,30.10
Ukiah CA USA,16,187,14.8,33.4,2.1,95,21.8,45,6.2,North America,39.15,-123.21
Springfield IL USA,117,181,11.7,30.1,-7.4,95,53.1,71.1,15.4,North America,39.78,-89.65
Harrisonburg VA USA,51,361,12,30,-3,95,62,84,6.5,North America,38.45,-78.87
Nanaimo BC Canada,84,30,9,22,0,95,62,77,4.2,North America,49.17,-123.94
Quincy IL USA,41,234,11.5,29.9,-7.5,94.7,52.6,73,15.2,North America,39.94,-91.41
Cuernavaca MR Mexico,339,1614,21.7,31.3,13.1,94.4,0,57,4.2,Latin America,18.92,-99.22
Nampo North_Korea,311,46,11,27,-7,94.4,9,72,12,Asia,38.75,125.32
Maxixe Mozambique,106,19,23.8,30,19,94.3,0,76.9,8.2,Africa,-23.86,35.34
Scranton PA USA,76,271,9.7,27.8,-7.4,94.3,121.2,67.9,12,North America,41.41,-75.66
Montevideo Uruguay,1305,21,16,28,6,94,0,74,13.3,South America,-34.90,-56.16
Rutland VT USA,16,239,7,27,-12,94,143,68,11.4,North America,43.61,-72.97
Kitchener ON Canada,205,328,7,26,-10.3,94,162.7,78,12.6,North America,43.45,-80.48
Sherbrooke QC Canada,155,238,5,25,-15,94,256,78,9.4,North America,45.40,-71.88
Chicago IL USA,2719,205,9.9,28.9,-8.6,93.7,92.2,69.4,16.1,North America,41.88,-87.63
Windsor ON Canada,211,190,9.9,28.1,-7.3,93.5,129.3,69.8,15.5,North America,42.31,-83.04
Barrie ON Canada,141,221,6.9,26.3,-12.4,93.3,223,79,8.1,North America,44.39,-79.69
Neuchatel Switzerland,33,485,9.3,23.9,-1.4,93.2,15,74.6,9,Europe,46.99,6.93
Pyongyang North_Korea,3255,38,10,28,-10,93,8,72.1,9,Asia,39.04,125.76
Hamilton ON Canada,520,236,7.9,26.5,-9.3,93,156.5,71,16.2,North America,43.26,-79.87
Dunedin NZ,128,1,10,18,2,93,1,72,11.4,Oceania,-45.88,170.50
Topeka KS USA,128,267,12.8,31.9,-6.9,92.7,45.2,68.2,13.2,North America,39.06,-95.69
Peoria IL USA,117,198,11.1,29.8,-8.3,92.7,62.5,71,13.8,North America,40.69,-89.59
Santa_Rosa CA USA,172,38,14.2,28.5,2.5,92.2,0,67.5,8,North America,38.44,-122.71
Elmira NY USA,29,257,8.6,27.9,-9.4,92.2,96.3,72.5,10.9,North America,42.09,-76.81
Dubuque IA USA,58,324,8.5,27.7,-11.6,92.2,106.4,73.4,17.1,North America,42.50,-90.66
Rawalpindi Pakistan,3199,510,21,40,3,92,0,51,4.5,Asia,33.57,73.02
Bloomington IL USA,79,266,11,31,-7,92,60,75,17.9,North America,40.48,-88.99
Cartagena Colombia,972,1,27,30,23,92,0,81,17,South America,10.39,-75.48
Kigoma Tanzania,135,884,23,29,17,92,0,72,5.2,Africa,-4.88,29.66
Toowoomba QLD Australia,111,585,16,27,5,92,0,61,6.9,Oceania,-27.56,151.95
Ottawa ON Canada,883,113,6.6,26.6,-14.4,92,175.4,69,14,North America,45.42,-75.70
Newport VT USA,5,28,5,26,-15,92,205,77,9.8,North America,44.94,-72.21
Dolbeau_Mistassini QC Canada,15,122,1.4,23.9,-24.9,92,237.8,77,5.1,North America,48.88,-72.23
Cardiff Wales UK,341,67,11.5,22,4,92,1,78,15,Europe,51.48,-3.18
Munich Germany,1388,528,8,22,-4,92,3,79.6,17,Europe,48.14,11.58
Dallas TX USA,1258,175,19.1,35.6,1.9,91.7,3,64.3,16.9,North America,32.78,-96.80
Caracas Venezuela,2104,834,23,27,17,91.6,0,78.5,9,South America,10.48,-66.90
Des_Moines IA USA,208,285,10.5,29.8,-9.8,91.4,89.7,69.5,15.9,North America,41.60,-93.61
Turin Italy,871,286,11.6,27.6,-3.3,91.4,5,74.8,8,Europe,45.07,7.69
Portland OR USA,609,6,12.5,27.3,1.8,91.4,10.9,67.5,12.4,North America,45.52,-122.68
Belleville ON Canada,49,97,8.1,26.8,-11.1,91.2,139.7,78,7.2,North America,44.16,-77.38
Indore MP India,1994,566,24.9,40.2,9.9,91,0,54,17,Asia,22.72,75.86
Merida YU Mexico,778,17,26,35,17,91,0,73.5,16,Latin America,20.97,-89.59
Ithaca NY USA,31,333,7,27,-8,91,187,76.5,12.3,North America,42.44,-76.50
Hamhung North_Korea,614,38,10,26,-8,91,3,67,12,Asia,39.98,127.61
Galway Ireland,80,21,10,18,2,90.6,3,78,19,Europe,53.27,-9.06
Coimbra Portugal,106,139,15,28.5,4.6,90.5,0,70,4.8,Europe,40.20,-8.41
Val_d_Or QC Canada,32,337,1.4,23.7,-23.9,90.5,288.1,73,12.4,North America,48.10,-77.80
Swansea Wales UK,242,89,11,19.7,3.6,90.4,2,82,24.6,Europe,51.62,-3.94
Everett WA USA,105,4,10.3,22.6,0.6,90.3,18.5,78,12.9,North America,47.98,-122.20
Binghamton NY USA,46,487,9.2,28.1,-8.2,90.2,131.1,71.6,14.8,North America,42.10,-75.92
Glasgow Scotland UK,599,7,9.6,19.7,1.7,90.2,3,81,10.4,Europe,55.86,-4.25
Bengaluru KA India,8426,920,23.9,33.9,15,90,0,69.5,8,Asia,12.97,77.59
Guadalajara JA Mexico,1495,1567,20,32.8,6,90,0,61.5,19,Latin America,20.66,-103.35
Lusaka Zambia,1743,1153,21,29,10,90,0,70.4,16,Africa,-15.39,28.32
Marquette MI USA,21,430,4,24,-15,90,328,77.5,13.8,North America,46.55,-87.40
Sundsvall Sweden,51,3,3,20,-10,90,10,77,5.5,Europe,62.39,17.31
Sudbury ON Canada,160,347,3.7,24.8,-18.6,89.9,274.4,70.8,15.7,North America,46.52,-80.95
Cumberland MD USA,20,189,12.1,31,-4.9,89.7,79,72,7.2,North America,39.65,-78.76
Bellingham WA USA,83,48,10.9,23.1,1.4,89.7,9.1,78,12.3,North America,48.75,-122.48
Montpelier VT USA,8,352,5.8,26.8,-15.6,89.5,236.2,76,10,North America,44.26,-72.58
Lome Togo,837,24,27,31,23,89.4,0,82.5,16,Africa,6.17,1.23
Burlington IA USA,26,212,11,30.7,-8.8,89.4,64.5,74.5,13.6,North America,40.81,-91.11
Mason_City IA USA,28,370,7.3,27.8,-14.2,89.4,77,69.5,17.9,North America,43.15,-93.20
Dortmund Germany,572,96,10,21.7,0.5,89.4,1,79,9.4,Europe,51.51,7.47
Kingston Jamaica,666,9,28,32,23,89,0,72.5,27,Latin America,18.02,-76.81
Napier NZ,62,1,14,23.9,4.6,89,0,72,13.7,Oceania,-39.49,176.91
Bariloche Argentina,113,839,8,21.8,-1.4,89,3,71.7,23.9,South America,-41.13,-71.31
Denton TX USA,113,185,18.3,35.4,0.6,88.5,3.3,67,15.5,North America,33.21,-97.13
Rockford IL USA,150,220,9.6,30.3,-10.2,88.4,82,71.5,15.1,North America,42.27,-89.09
Victoria BC Canada,80,18,10,22.4,1.1,88.3,39.7,76.2,9.1,North America,48.43,-123.37
Zagreb Croatia,790,162,11,27.2,-2.8,88.2,5,65,4.9,Europe,45.82,15.98
Olavarria Argentina,112,166,14.4,29,2,88.1,0,76.3,11.2,South America,-36.89,-60.32
Bayonne France,40,43,14.3,24.7,4.8,88.1,0,78,7.1,Europe,43.49,-1.47
Morogoro Tanzania,316,579,24,32,15,88,0,71,5.8,Africa,-6.83,37.66
Blantyre Malawi,661,777,22,31,12,88,0,67,6.6,Africa,-15.77,35.02
Mandurah WA Australia,84,15,17,29.5,8.6,88,0,60.5,12,Oceania,-32.54,115.74
Tegucigalpa Honduras,1190,993,22,27,15,88,0,72.5,14,Latin America,14.07,-87.19
Freiburg Germany,229,285,9,24,-1,88,5,71,5,Europe,48.00,7.84
Redding CA USA,91,163,16.8,36.9,2.4,87.9,1.5,55.5,11.3,North America,40.59,-122.39
Killeen TX USA,137,281,19.2,35.6,1.1,87.9,1.8,62.7,13.6,North America,31.12,-97.73
Waterloo IA USA,68,264,8.8,29.1,-12.6,87.9,72.4,72.8,16.1,North America,42.49,-92.34
Cedar_Rapids IA USA,128,263,9,28.6,-11.7,87.9,67.8,70,16,North America,41.98,-91.67
Junction_City KS USA,25,326,13.5,33.8,-7.4,87.7,53.3,72,14.5,North America,39.03,-96.83
